"enol, R = H"	[$(C=C(O))!$(C(CO)=C(O))]
"enol, R = CO"	[$(C(CO)=C(O))!$(C(C(O)CO)=C(O))]
"enol, R = C(O)CO"	[$(C(C(O)CO)=C(O))!$(C(C(CO)(O)CO)=C(O))!$(C(C(O)C(O)CO)=C(O))]
"enol, R = C(O)C(O)CO"	[$(C(C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)CO)=C(O))]
"enol, R = C(O)(CO)(CO)"	[$(C(C(O)(CO)(CO))=C(O))!$(C(C(O)(C(O)CO)(CO))=C(O))]
"enol, R= C(O)C(O)C(O)CO"	[$(C(C(O)C(O)C(O)CO)=C(O))!$(C(C(CO)(O)C(O)C(O)CO)=C(O))!$(C(C(O)C(CO)(O)C(O)CO)=C(O))!$(C(C(O)C(O)C(CO)(O)CO)=C(O))!$(C(C(O)C(O)C(O)C(O)CO)=C(O))]
"enol, R = C(O)(CO)C(O)CO"	[$(C(C(O)(CO)C(O)CO)=C(O))!$(C(C(O)(C(O)CO)C(O)CO)=C(O))!$(C(C(O)(CO)C(CO)(O)CO)=C(O))!$(C(C(O)(CO)C(O)C(O)CO)=C(O))]
"enol, R = C(O)(O)C(O)(CO)(CO)"	[$(C(C(O)C(O)(CO)(CO))=C(O))!$(C(C(CO)(O)C(O)(CO)(CO))=C(O))!$(C(C(O)C(O)(C(O)CO)(CO))=C(O))]
R= H	[$([Ch]C=O)!$([Ch](CO)C=O)]
R = CO	[$([Ch](CO)C=O)!$([Ch](C(O)CO)C=O)]
R = C(O)CO	[$([Ch](C(O)CO)C=O)!$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)CO)C=O)]
R = C(O)C(O)CO	[$([Ch](C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)CO)C=O)]
R = C(O)C(O)C(O)CO	[$([Ch](C(O)C(O)C(O)CO)C=O)!$([Ch](C(CO)(O)C(O)C(O)CO)C=O)!$([Ch](C(O)C(CO)(O)C(O)CO)C=O)!$([Ch](C(O)C(O)C(CO)(O)CO)C=O)!$([Ch](C(O)C(O)C(O)C(O)CO)C=O)]
R = C(O)(CO)(CO)	[$([Ch](C(O)(CO)(CO))C=O)!$([Ch](C(O)(C(O)CO)(CO))C=O)]
R = C(O)(CO)(C(O)CO)	[$([Ch](C(O)(CO)(C(O)CO))C=O)!$([Ch](C(O)(C(O)CO)(C(O)CO))C=O)!$([Ch](C(O)(CO)(C(CO)(O)CO))C=O)!$([Ch](C(O)(CO)(C(O)C(O)CO))C=O)]
R = C(O)C(O)(CO)(CO)	[$([Ch](C(O)C(O)(CO)(CO))C=O)!$([Ch](C(CO)(O)C(O)(CO)(CO))C=O)!$([Ch](C(O)C(O)(C(O)CO)(CO))C=O)!$([Ch](C(O)C(O)(C(O))(C(O)CO))C=O)]
