Reaction, colour
CC1COC(C)CO1>>O=CCO.O=CCO,#000000
C=O.C=O.[OH-]>>CO.O=CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@](O)(CO)C(O)(CO)CO.[OH-]>>O=CO.OCC(O)(CO)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@](O)(CO)C(O)(CO)CO.[OH-]>>O=CO.OCC(O)(CO)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@](O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@](O)(CO)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@](O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@](O)(CO)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)(CO)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@@H](O)[C@@H](O)C(O)(CO)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)[C@H](O)CO,#c9bf8b
C=O.O=C[C@@H](O)[C@H](O)C(O)(CO)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)C(O)(CO)CO,#c9bf8b
