ReactionSMILES	reaction name	reactionSMARTS	reacting substructures	product substructures
O=CCO.[OH-]>>OC=CO.[OH-]	deprotonation-t1	[$([C&h]C=O)&!$([C&h](-,:CO)C=O):1][C:2]=[O:3].[O&-:4]>>[C:1]=[C:2][O:3].[O&-:4]	[$([Ch]C=O)!$([Ch](CO)C=O):1][C:2]=[O:3].[O-:4]	[C:1]=[C:2][O:3].[O-:4]	
O.OC=CO>>O.O=CCO	protonation-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[O&H2:4]>>[C:2]([C@&H1:1])=[O:3].[O:4]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[OH2:4]	[C@H:1][C:2]=[O:3].[O:4]	
C=O.OC=CO>>O=C[C@@H](O)CO	aldol_addition_fast_pt_C=O-t1-@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@:1][C:4][O:5]	
C=O.OC=CO>>O=C[C@H](O)CO	aldol_addition_fast_pt_C=O-t1-@@	[$(C=C-,:O)&!$(C(-,:CO)=C-,:O):1]=[C:2][O:3].[C&H2:4]=[O:5]>>[O:3]=[C:2][C@@:1][C:4][O:5]	[$(C=C(O))!$(C(CO)=C(O)):1]=[C:2][O:3].[CH2:4]=[O:5]	[O:3]=[C:2][C@@:1][C:4][O:5]	
O=CCO.OC=CO>>O=C[C@@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=CO>>O=C[C@@H](O)[C@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=CO>>O=C[C@@H](O)[C@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@:2]([O:1])[C:3][O:4]	
O=CCO.OC=CO>>O=C[C@@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=CO>>O=C[C@@H](O)[C@@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=CO>>O=C[C@@H](O)[C@@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
